exam_year,state,city,center_name,center_id,total_students,above_600_marks,above_700_marks,center_average_marks,center_median_marks,state_average_marks,state_median_marks,national_average_marks,national_median_marks,Ultra_High_Score_Ratio,High_Score_Ratio,Center_v_National_Gap,Center_v_State_Gap,Center_Std_Dev,Center_Skewness,Center_Kurtosis
2024,Arunachal Pradesh,Itanagar/Naharlagun,Kendriya Vidyalaya Nirjuli (Nerist),130108,233,0,0,161.14,122.0,162.91,129,217.16,163,0.0,0.0,-56.02000000000001,-1.7700000000000102,119.113,1.27,1.048
2024,Arunachal Pradesh,Itanagar/Naharlagun,North Eastern Regional Institute Of Science And Technology,130101,624,4,1,167.31,130.0,162.91,129,217.16,163,0.0016025641025641025,0.008012820512820512,-49.849999999999994,4.400000000000006,122.491,1.36,1.755
2024,Arunachal Pradesh,Itanagar/Naharlagun,Kingcup Public School,130106,462,1,0,161.5,123.5,162.91,129,217.16,163,0.0,0.0021645021645021645,-55.66,-1.4099999999999966,118.705,1.301,1.351
2024,Arunachal Pradesh,Itanagar/Naharlagun,Green Mount School,130107,233,0,0,169.41,138.0,162.91,129,217.16,163,0.0,0.0,-47.75,6.5,115.86,1.08,0.798
2024,Arunachal Pradesh,Itanagar/Naharlagun,Delhi Public School,130109,120,0,0,169.1,141.0,162.91,129,217.16,163,0.0,0.0,-48.06,6.189999999999998,117.165,1.13,0.926
2024,Arunachal Pradesh,Pasighat,Igj Govt Higher Secondary School,130401,551,2,0,166.44,136.0,162.91,129,217.16,163,0.0,0.003629764065335753,-50.72,3.530000000000001,115.118,1.421,2.129
2024,Arunachal Pradesh,Namsai,Govt. Hr. Sec. School Namsai,130301,454,0,0,166.03,138.5,162.91,129,217.16,163,0.0,0.0,-51.129999999999995,3.1200000000000045,111.354,1.267,1.545
2024,Arunachal Pradesh,Itanagar/Naharlagun,Kendriya Vidyalaya No 1 Itanagar,130105,457,1,0,164.08,133.0,162.91,129,217.16,163,0.0,0.002188183807439825,-53.079999999999984,1.170000000000016,116.388,1.276,1.444
2024,Arunachal Pradesh,Itanagar/Naharlagun,Don Bosco School,130102,576,3,0,162.74,128.0,162.91,129,217.16,163,0.0,0.005208333333333333,-54.41999999999999,-0.1699999999999875,112.981,1.366,1.964
2024,Arunachal Pradesh,Itanagar/Naharlagun,Nerist Degree Block,130103,558,2,0,155.94,119.5,162.91,129,217.16,163,0.0,0.0035842293906810036,-61.22,-6.969999999999999,115.334,1.51,2.416
2024,Arunachal Pradesh,Itanagar/Naharlagun,Kendiriya Vidayalaya No. Ii Itanagar,130104,505,0,0,155.29,115.0,162.91,129,217.16,163,0.0,0.0,-61.870000000000005,-7.6200000000000045,118.952,1.394,1.528
2024,Jammu and Kashmir,Badgam,Spring Buds Educational Institute,250502,731,10,0,198.38,150.0,205.41,162,217.16,163,0.0,0.013679890560875513,-18.78,-7.030000000000001,148.924,1.086,0.446
2024,Jammu and Kashmir,Kupwara,Govt. Degree College Boys,250706,366,2,0,178.17,138.5,205.41,162,217.16,163,0.0,0.00546448087431694,-38.99000000000001,-27.24000000000001,133.709,1.189,0.828
2024,Jammu and Kashmir,Kupwara,Alexandra Secondary Secondary School,250701,402,1,0,176.97,134.0,205.41,162,217.16,163,0.0,0.0024875621890547263,-40.19,-28.439999999999998,131.613,1.227,0.941
2024,Jammu and Kashmir,Jammu,Mhac School Nagbani Jammu,250103,570,8,0,194.18,152.5,205.41,162,217.16,163,0.0,0.014035087719298246,-22.97999999999999,-11.22999999999999,141.166,1.092,0.631
2024,Jammu and Kashmir,Jammu,G D Goenka Public School Gajansoo Jammu J&K,250104,532,10,0,195.61,153.5,205.41,162,217.16,163,0.0,0.018796992481203006,-21.549999999999983,-9.799999999999983,149.876,1.117,0.603
2024,Jammu and Kashmir,Anantnag,Govt Boys Model Higher Sec. School Bijbaraha Anantnag,250309,399,6,0,204.24,163.0,205.41,162,217.16,163,0.0,0.015037593984962405,-12.919999999999987,-1.1699999999999875,146.461,0.999,0.204
2024,Jammu and Kashmir,Anantnag,Public School English Medium Bijbehara,250307,495,9,0,219.48,173.0,205.41,162,217.16,163,0.0,0.01818181818181818,2.319999999999993,14.069999999999993,153.118,1.015,0.217
2024,Jammu and Kashmir,Anantnag,Shemford Futuristic School,250306,495,14,0,210.57,164.0,205.41,162,217.16,163,0.0,0.028282828282828285,-6.590000000000003,5.159999999999997,154.244,1.09,0.421
2024,Jammu and Kashmir,Anantnag,Ayesha Ali Academy,250301,559,11,0,212.59,169.0,205.41,162,217.16,163,0.0,0.01967799642218247,-4.569999999999993,7.180000000000007,152.945,1.004,0.249
2024,Jammu and Kashmir,Jammu,Stephens Intl Pub Sch Nihalpur Kullian J&K,250105,482,4,0,192.83,151.5,205.41,162,217.16,163,0.0,0.008298755186721992,-24.329999999999984,-12.579999999999984,143.689,0.988,0.226
2024,Jammu and Kashmir,Anantnag,Radient Public School,250308,492,3,0,191.57,152.5,205.41,162,217.16,163,0.0,0.006097560975609756,-25.590000000000003,-13.840000000000003,138.18,1.159,0.818
2024,Jammu and Kashmir,Jammu,Heritage School,250102,580,9,0,197.1,165.0,205.41,162,217.16,163,0.0,0.015517241379310345,-20.060000000000002,-8.310000000000002,144.946,1.013,0.485
2024,Jammu and Kashmir,Samba,Mahavir International School,250901,461,9,0,210.02,168.0,205.41,162,217.16,163,0.0,0.019522776572668113,-7.139999999999986,4.610000000000014,149.817,0.975,0.204
2024,Jammu and Kashmir,Srinagar (J And K),R P School,250220,414,12,0,221.43,182.0,205.41,162,217.16,163,0.0,0.028985507246376812,4.27000000000001,16.02000000000001,153.64,1.036,0.339
2024,Jammu and Kashmir,Srinagar (J And K),Green Land College Of Education Kohimaran Hawal Srinagar,250227,308,10,0,232.88,195.0,205.41,162,217.16,163,0.0,0.032467532467532464,15.719999999999999,27.47,154.657,0.818,-0.034
