exam_year,state,city,center_name,center_id,total_students,above_600_marks,above_700_marks,center_average_marks,center_median_marks,state_average_marks,state_median_marks,national_average_marks,national_median_marks,Ultra_High_Score_Ratio,High_Score_Ratio,Center_v_National_Gap,Center_v_State_Gap,Center_Std_Dev,Center_Skewness,Center_Kurtosis,Anomaly_Flag,Anomaly_Score,Anomaly_Type
2024,Arunachal Pradesh,Itanagar/Naharlagun,Kendriya Vidyalaya Nirjuli (Nerist),130108,233,0,0,161.14,122.0,162.91,129,217.16,163,0.0,0.0,-56.02000000000001,-1.7700000000000102,119.113,1.27,1.048,1,0.087523124974556,Normal Center
2024,Arunachal Pradesh,Itanagar/Naharlagun,North Eastern Regional Institute Of Science And Technology,130101,624,4,1,167.31,130.0,162.91,129,217.16,163,0.0016025641025641,0.0080128205128205,-49.85,4.400000000000006,122.491,1.36,1.755,1,0.07636386433257886,Normal Center
2024,Arunachal Pradesh,Itanagar/Naharlagun,Kingcup Public School,130106,462,1,0,161.5,123.5,162.91,129,217.16,163,0.0,0.0021645021645021,-55.66,-1.4099999999999966,118.705,1.301,1.351,1,0.08681949293349867,Normal Center
2024,Arunachal Pradesh,Itanagar/Naharlagun,Green Mount School,130107,233,0,0,169.41,138.0,162.91,129,217.16,163,0.0,0.0,-47.75,6.5,115.86,1.08,0.798,1,0.0877504658256219,Normal Center
2024,Arunachal Pradesh,Itanagar/Naharlagun,Delhi Public School,130109,120,0,0,169.1,141.0,162.91,129,217.16,163,0.0,0.0,-48.06,6.189999999999998,117.165,1.13,0.926,1,0.08729186063029476,Normal Center
2024,Arunachal Pradesh,Pasighat,Igj Govt Higher Secondary School,130401,551,2,0,166.44,136.0,162.91,129,217.16,163,0.0,0.0036297640653357,-50.72,3.530000000000001,115.118,1.421,2.129,1,0.08633953439054604,Normal Center
2024,Arunachal Pradesh,Namsai,Govt. Hr. Sec. School Namsai,130301,454,0,0,166.03,138.5,162.91,129,217.16,163,0.0,0.0,-51.13,3.1200000000000045,111.354,1.267,1.545,1,0.08612380057120689,Normal Center
2024,Arunachal Pradesh,Itanagar/Naharlagun,Kendriya Vidyalaya No 1 Itanagar,130105,457,1,0,164.08,133.0,162.91,129,217.16,163,0.0,0.0021881838074398,-53.079999999999984,1.170000000000016,116.388,1.276,1.444,1,0.08635585494162867,Normal Center
2024,Arunachal Pradesh,Itanagar/Naharlagun,Don Bosco School,130102,576,3,0,162.74,128.0,162.91,129,217.16,163,0.0,0.0052083333333333,-54.41999999999999,-0.1699999999999875,112.981,1.366,1.964,1,0.08657144284778495,Normal Center
2024,Arunachal Pradesh,Itanagar/Naharlagun,Nerist Degree Block,130103,558,2,0,155.94,119.5,162.91,129,217.16,163,0.0,0.003584229390681,-61.22,-6.969999999999999,115.334,1.51,2.416,1,0.08578159652412853,Normal Center
2024,Arunachal Pradesh,Itanagar/Naharlagun,Kendiriya Vidayalaya No. Ii Itanagar,130104,505,0,0,155.29,115.0,162.91,129,217.16,163,0.0,0.0,-61.870000000000005,-7.620000000000003,118.952,1.394,1.528,1,0.08745375499136215,Normal Center
2024,Jammu and Kashmir,Badgam,Spring Buds Educational Institute,250502,731,10,0,198.38,150.0,205.41,162,217.16,163,0.0,0.0136798905608755,-18.78,-7.030000000000001,148.924,1.086,0.446,1,0.03959996216830691,Normal Center
2024,Jammu and Kashmir,Kupwara,Govt. Degree College Boys,250706,366,2,0,178.17,138.5,205.41,162,217.16,163,0.0,0.0054644808743169,-38.99000000000001,-27.24000000000001,133.709,1.189,0.828,1,0.034800244846495076,Normal Center
2024,Jammu and Kashmir,Kupwara,Alexandra Secondary Secondary School,250701,402,1,0,176.97,134.0,205.41,162,217.16,163,0.0,0.0024875621890547,-40.19,-28.44,131.613,1.227,0.941,1,0.03377106038758215,Normal Center
2024,Jammu and Kashmir,Jammu,Mhac School Nagbani Jammu,250103,570,8,0,194.18,152.5,205.41,162,217.16,163,0.0,0.0140350877192982,-22.97999999999999,-11.22999999999999,141.166,1.092,0.631,1,0.03845764391546197,Normal Center
2024,Jammu and Kashmir,Jammu,G D Goenka Public School Gajansoo Jammu J&K,250104,532,10,0,195.61,153.5,205.41,162,217.16,163,0.0,0.018796992481203,-21.549999999999983,-9.799999999999985,149.876,1.117,0.603,1,0.037194168218796064,Normal Center
2024,Jammu and Kashmir,Anantnag,Govt Boys Model Higher Sec. School Bijbaraha Anantnag,250309,399,6,0,204.24,163.0,205.41,162,217.16,163,0.0,0.0150375939849624,-12.919999999999987,-1.1699999999999875,146.461,0.999,0.204,1,0.038359161449064094,Normal Center
2024,Jammu and Kashmir,Anantnag,Public School English Medium Bijbehara,250307,495,9,0,219.48,173.0,205.41,162,217.16,163,0.0,0.0181818181818181,2.319999999999993,14.069999999999991,153.118,1.015,0.217,1,0.03860804041331939,Normal Center
2024,Jammu and Kashmir,Anantnag,Shemford Futuristic School,250306,495,14,0,210.57,164.0,205.41,162,217.16,163,0.0,0.0282828282828282,-6.590000000000003,5.159999999999997,154.244,1.09,0.421,1,0.03777450228816681,Normal Center
2024,Jammu and Kashmir,Anantnag,Ayesha Ali Academy,250301,559,11,0,212.59,169.0,205.41,162,217.16,163,0.0,0.0196779964221824,-4.569999999999993,7.180000000000007,152.945,1.004,0.249,1,0.03676923777358959,Normal Center
2024,Jammu and Kashmir,Jammu,Stephens Intl Pub Sch Nihalpur Kullian J&K,250105,482,4,0,192.83,151.5,205.41,162,217.16,163,0.0,0.0082987551867219,-24.329999999999984,-12.579999999999984,143.689,0.988,0.226,1,0.038478150387947774,Normal Center
2024,Jammu and Kashmir,Anantnag,Radient Public School,250308,492,3,0,191.57,152.5,205.41,162,217.16,163,0.0,0.0060975609756097,-25.590000000000003,-13.840000000000003,138.18,1.159,0.818,1,0.035422086220073146,Normal Center
2024,Jammu and Kashmir,Jammu,Heritage School,250102,580,9,0,197.1,165.0,205.41,162,217.16,163,0.0,0.0155172413793103,-20.06,-8.310000000000002,144.946,1.013,0.485,1,0.03926692336756621,Normal Center
2024,Jammu and Kashmir,Samba,Mahavir International School,250901,461,9,0,210.02,168.0,205.41,162,217.16,163,0.0,0.0195227765726681,-7.139999999999986,4.610000000000014,149.817,0.975,0.204,1,0.037034673471838364,Normal Center
2024,Jammu and Kashmir,Srinagar (J And K),R P School,250220,414,12,0,221.43,182.0,205.41,162,217.16,163,0.0,0.0289855072463768,4.27000000000001,16.02000000000001,153.64,1.036,0.339,1,0.037920188110893815,Normal Center
2024,Jammu and Kashmir,Srinagar (J And K),Green Land College Of Education Kohimaran Hawal Srinagar,250227,308,10,0,232.88,195.0,205.41,162,217.16,163,0.0,0.0324675324675324,15.72,27.47,154.657,0.818,-0.034,1,0.037720528887229765,Normal Center
2024,Jammu and Kashmir,Srinagar (J And K),Govt College Of Education Iase,250218,422,12,0,221.6,167.5,205.41,162,217.16,163,0.0,0.0284360189573459,4.439999999999998,16.189999999999998,163.785,0.921,-0.046,1,0.037920933127955136,Normal Center
2024,Jammu and Kashmir,Srinagar (J And K),Govt. Higher Sec. School,250211,483,15,0,216.45,167.0,205.41,162,217.16,163,0.0,0.031055900621118,-0.710000000000008,11.039999999999992,158.444,1.021,0.245,1,0.037034673471838364,Normal Center
2024,Jammu and Kashmir,Srinagar (J And K),Govt. Sri Pratap Higher Secondary School M. A Road Srinagar,250216,471,15,0,216.61,162.0,205.41,162,217.16,163,0.0,0.0318471337579617,-0.549999999999983,11.200000000000015,163.122,1.043,0.189,1,0.03676923777358959,Normal Center
2024,Jammu and Kashmir,Srinagar (J And K),Doon International School,250229,303,5,0,208.86,160.0,205.41,162,217.16,163,0.0,0.0165016501650165,-8.299999999999983,3.450000000000017,150.344,1.087,0.477,1,0.0371026991109914,Normal Center
2024,Jammu and Kashmir,Srinagar (J And K),S.P. College,250217,444,12,0,217.58,170.0,205.41,162,217.16,163,0.0,0.027027027027027,0.4200000000000159,12.170000000000016,162.014,0.956,-0.043,1,0.03743327684915343,Normal Center
2024,Jammu and Kashmir,Srinagar (J And K),Fayaz Educational Institute,250228,304,6,0,214.59,168.5,205.41,162,217.16,163,0.0,0.0197368421052631,-2.569999999999993,9.180000000000009,155.237,1.086,0.346,1,0.03750956731734417,Normal Center
2024,Jammu and Kashmir,Srinagar (J And K),Srinagar British School,250210,484,19,0,207.8,155.0,205.41,162,217.16,163,0.0,0.0392561983471074,-9.359999999999983,2.390000000000015,163.519,1.204,0.692,1,0.034234650345015716,Normal Center
2024,Jammu and Kashmir,Srinagar (J And K),Govt. Boys Higher Secondary  School,250226,299,6,0,218.21,180.0,205.41,162,217.16,163,0.0,0.020066889632107,1.0500000000000114,12.800000000000011,154.346,0.913,-0.051,1,0.03936257373040597,Normal Center
2024,Jammu and Kashmir,Srinagar (J And K),Government Boys Higher Secondary School Nawakadal,250219,415,8,0,222.24,193.0,205.41,162,217.16,163,0.0,0.0192771084337349,5.0800000000000125,16.830000000000013,151.329,0.903,0.101,1,0.04022403553943937,Normal Center
2024,Jammu and Kashmir,Srinagar (J And K),Government Girls Higher Secondary School,250221,401,13,0,232.49,181.0,205.41,162,217.16,163,0.0,0.0324189526184538,15.330000000000013,27.080000000000013,164.018,0.919,-0.061,1,0.037920933127955136,Normal Center
2024,Jammu and Kashmir,Srinagar (J And K),Abdul Ahad Azad Memorial Degree College,250203,755,29,0,223.62,173.0,205.41,162,217.16,163,0.0,0.03841059602649,6.460000000000008,18.210000000000008,165.73,1.017,0.173,1,0.037428778595628986,Normal Center
2024,Jammu and Kashmir,Srinagar (J And K),Govt College For Women M.A.Road,250204,704,15,0,221.29,174.0,205.41,162,217.16,163,0.0,0.0213068181818181,4.129999999999996,15.879999999999995,157.991,0.893,-0.103,1,0.03740058187283052,Normal Center
2024,Jammu and Kashmir,Pulwama,Delhi Modern Public School,250803,422,9,0,199.41,161.5,205.41,162,217.16,163,0.0,0.0213270142180094,-17.75,-6.0,148.387,1.137,0.725,1,0.03716338243305245,Normal Center
2024,Jammu and Kashmir,Pulwama,Birla Open Minds International School Pampore,250804,304,1,0,181.76,136.5,205.41,162,217.16,163,0.0,0.0032894736842105,-35.400000000000006,-23.65000000000001,139.271,1.185,0.792,1,0.034800244846495076,Normal Center
2024,Jammu and Kashmir,Kathua,Army Public School Janglot,250602,636,7,0,196.26,157.5,205.41,162,217.16,163,0.0,0.0110062893081761,-20.90000000000001,-9.150000000000006,142.398,0.997,0.438,1,0.039880391049838426,Normal Center
2024,Jammu and Kashmir,Baramulla,Gulzar Memorial Educational Trust,250406,234,1,0,192.28,156.5,205.41,162,217.16,163,0.0,0.0042735042735042,-24.879999999999995,-13.129999999999995,141.266,1.129,0.733,1,0.037282735402219824,Normal Center
2024,Jammu and Kashmir,Baramulla,Srm Welkin,250401,947,16,0,187.59,146.0,205.41,162,217.16,163,0.0,0.0168954593453009,-29.569999999999997,-17.819999999999993,139.93,1.259,1.216,1,0.03278847347640845,Normal Center
2024,Jammu and Kashmir,Pulwama,Dolphin International School,250805,310,8,0,194.3,148.0,205.41,162,217.16,163,0.0,0.0258064516129032,-22.859999999999985,-11.109999999999983,143.631,1.158,0.977,1,0.033500533691932066,Normal Center
2024,Jammu and Kashmir,Pulwama,Solace International School,250802,536,6,0,195.88,159.5,205.41,162,217.16,163,0.0,0.0111940298507462,-21.28,-9.53,146.45,1.075,0.472,1,0.03959996216830691,Normal Center
2024,Jammu and Kashmir,Srinagar (J And K),Hilltop Educational Institute,250205,563,19,0,228.63,177.0,205.41,162,217.16,163,0.0,0.0337477797513321,11.47,23.22,163.866,0.921,-0.039,1,0.037920933127955136,Normal Center
2024,Jammu and Kashmir,Srinagar (J And K),Green Valley Educational Institute,250202,794,26,1,222.67,169.5,205.41,162,217.16,163,0.0012594458438287,0.0340050377833753,5.509999999999991,17.25999999999999,162.913,0.923,-0.017,1,0.0339509347632983,Normal Center
2024,Jammu and Kashmir,Jammu,Idps Akhnoor,250120,393,4,0,201.96,167.0,205.41,162,217.16,163,0.0,0.010178117048346,-15.199999999999989,-3.4499999999999886,142.829,0.962,0.335,1,0.04239954023657466,Normal Center
